longitude,latitude,YR,MO,X,Y,TOT
-73.8748741617888,40.830633009055695,2014,5,1018877,241924,2.0
-73.85387757917616,40.83973998335944,2014,7,1024682,245251,1.0
-73.87613687654135,40.82783750595075,2014,5,1018529,240905,1.0
-73.87798379051517,40.827578726753046,2014,5,1018018,240810,1.0
-73.82914518246521,40.838942968376934,2014,5,1031526,244973,1.0
-73.90106388039659,40.87031395693941,2014,5,1011613,256372,1.0
-73.90939870555604,40.83267991997719,2014,5,1009322,242658,1.0
-73.9079025861657,40.8353411067076,2014,5,1009735,243628,1.0
-73.85112595190814,40.86941222439479,2014,5,1025425,256063,2.0
-73.99320481111137,40.670830183930384,2014,5,986135,183678,1.0
-73.96710010012254,40.64527177361425,2014,5,993380,174368,1.0
-73.95462889726534,40.655148749124265,2014,5,996839,177968,2.0
-73.86725795011886,40.67611161258075,2014,7,1021070,185630,1.0
-73.94568782150914,40.67664746835447,2014,5,999315,185802,1.0
-73.98985405018031,40.63547989135202,2014,5,987066,170799,1.0
-74.01148326730876,40.618129948729795,2014,5,981062,164478,1.0
-73.9147261206892,40.69100031960218,2014,5,1007898,191038,1.0
-73.91886787920782,40.704084880062915,2014,5,1006745,195804,1.0
-74.0069520096399,40.619036093507674,2014,5,982320,164808,1.0
-73.98896950156742,40.69009816266548,2014,5,987309,190698,1.0
-73.96933589720788,40.61820054187587,2014,5,992763,164505,1.0
-73.95433524773138,40.65240110604645,2014,5,996921,176967,2.0
-73.9569848670038,40.62885186297897,2014,5,996190,168387,1.0
-73.92425800481874,40.743807955201795,2014,7,1005238,210275,1.0
-73.90323999204396,40.63213764542299,2014,5,1011107,169596,1.0
-73.96613097276563,40.69454572299664,2014,5,993642,192320,1.0
-73.90746103051151,40.67733671489231,2014,5,1009918,186062,1.0
-73.90780359382464,40.66946496970388,2014,5,1009826,183194,1.0
-73.95288986390588,40.67824261183354,2014,5,997317,186382,1.0
-73.9885547151729,40.69071569534062,2014,5,987424,190923,2.0
-73.87417235372207,40.672449614001444,2014,5,1019154,184293,1.0
-73.86734482696048,40.67955915278417,2014,5,1021044,186886,1.0
-73.97517833867514,40.64740924297263,2014,5,991138,175146,1.0
-73.9829208345506,40.682052499551304,2014,5,988987,187767,1.0
-73.92242543273201,40.68120967511044,2014,7,1005766,187469,1.0
-73.90524458048237,40.669185667836146,2014,5,1010536,183093,1.0
-73.99148995369914,40.747257993313404,2014,5,986608,211523,2.0
-73.9987622950777,40.737267408508664,2014,5,984593,207883,3.0
-73.9875303335966,40.750120405090236,2014,5,987705,212566,3.0
-73.95349841986398,40.76719498389575,2014,5,997131,218790,1.0
-74.01285612852723,40.71417505688119,2014,5,980686,199470,1.0
-73.9998556891024,40.724400003314344,2014,5,984290,203195,1.0
-73.98789521759969,40.72828594272038,2014,5,987605,204611,1.0
-73.9568372391147,40.77913040678934,2014,5,996204,223138,1.0
-73.9757595013936,40.724057101767364,2014,5,990969,203071,2.0
-73.98980823980881,40.69952102909128,2014,7,987076,194131,1.0
-73.97097208699944,40.79014670579919,2014,5,992288,227150,1.0
-73.79050317797882,40.67635427863427,2014,5,1042360,185760,1.0
-73.82710253884358,40.76413501422454,2014,5,1032145,217719,2.0
-73.780965739413,40.67687998433558,2014,5,1045005,185958,1.0
-73.82847943084184,40.700469627784344,2014,5,1031809,194523,1.0
-73.84302737177353,40.75587141795746,2014,5,1027739,214700,1.0
-73.8707860307722,40.89824692957243,2014,3,1019972,266560,1.0
-73.9651138131886,40.639836513136494,2014,3,993932,172388,1.0
-73.90656687835418,40.6645096457527,2014,3,1010171,181389,1.0
-73.9683990959121,40.63399381123685,2014,3,993021,170259,1.0
-73.99062326583426,40.75099078334887,2014,6,986848,212883,2.0
-73.89499957319875,40.630384728685556,2014,7,1013395,168960,2.0
-73.95117695329262,40.718191986149186,2014,3,997784,200937,1.0
-73.95426908062446,40.6700664819992,2014,3,996936,183403,1.0
-73.9761789032482,40.68115925019225,2014,3,990857,187442,1.0
-73.94026134325163,40.62507030305124,2014,3,1000833,167012,1.0
-73.87895646808879,40.67822975844234,2014,3,1017824,186397,3.0
-73.93770918686899,40.696320693675275,2014,3,1001523,192971,1.0
-73.95662282594812,40.67039127720381,2014,3,996283,183521,1.0
-73.9188903409192,40.69451663552984,2014,3,1006742,192318,1.0
-73.89652463276597,40.666839603423185,2014,3,1012956,182241,3.0
-74.0084473889566,40.708510275435785,2014,3,981908,197406,2.0
-73.98339487625655,40.718568938730606,2014,7,988853,201071,1.0
-74.00321119163638,40.73008983869304,2014,3,983360,205268,1.0
-73.99963187990116,40.74744769476885,2014,3,984352,211592,1.0
-73.94967345862898,40.77445321324871,2014,3,998189,221435,1.0
-73.95798782651767,40.809707120257094,2014,3,995880,234278,3.0
-74.0066822872645,40.73130836085606,2014,3,982398,205712,2.0
-73.98385055728647,40.743634106179876,2014,3,988725,210203,2.0
-73.94199511096376,40.82701387311184,2014,3,1000303,240586,1.0
-73.9438558770575,40.81000576859665,2014,3,999792,234389,1.0
-73.94177010177597,40.82813634824017,2014,3,1000365,240995,1.0
-73.94257021473749,40.830524650999166,2014,3,1000143,241865,1.0
-73.87160174684473,40.68569580980438,2014,7,1019860,189120,1.0
-73.93846850007762,40.85045186963236,2014,3,1001273,249126,3.0
-74.0066723934237,40.740602095534314,2014,3,982401,209098,3.0
-73.9395116177069,40.78850960692935,2014,3,1001000,226558,1.0
-73.98970510029449,40.736860731602,2014,3,987103,207735,1.0
-73.87313557262905,40.74749585253433,2014,3,1019402,211635,1.0
-73.93968228527123,40.75159842995195,2014,3,1000962,213110,1.0
-73.8630524871499,40.752501710115425,2014,3,1022193,213463,1.0
-73.77161198114483,40.76479318088044,2014,3,1047516,217994,2.0
-73.93735430342865,40.75929345578501,2014,3,1001605,215914,1.0
-73.92189146224065,40.7461641154517,2014,3,1005893,211134,1.0
-73.92592932593037,40.827811619409694,2014,7,1004749,240880,6.0
-73.93504313217424,40.75290240707345,2014,3,1002247,213586,1.0
